id,url,platforma,tytul,cena,zrodlo_aktualizacja,marka,model,wersja,generacja,rocznik,przebieg,paliwo,pojemnosc,moc,nadwozie,kolor,skrzynia,naped,kraj,zarejestrowany,nr_rejestracyjny,data_dodania,ostatnia_aktualizacja,first_seen,last_seen,is_active,miasto,wojewodztwo,typ_sprzedawcy,liczba_zdjec,liczba_opcji,wyposazenie,opis,kategoria
32040,https://www.otomoto.pl/dostawcze/oferta/iveco-daily-156-km-automat-chlodnia-izoterma-krajowe-bezwypadkowe-ID6HMZXW.html,otomoto,iveco Daily,139900,,iveco,Daily,,,2020,205052,Diesel,2287,156,,,,,,,,2026-01-21 14:15:11,2026-01-21 14:15:11,2026-01-21 14:15:11,2026-01-21 14:15:11,1,Bilcza,Świętokrzyskie,,,,,,dostawcze
32039,https://www.otomoto.pl/dostawcze/oferta/iveco-35s16-ID6HMn8o.html,otomoto,iveco Daily,39500,2026-01-17 14:02:00,Iveco,35S16,,,2017,383000,Diesel,2300,150,Furgon (blaszak),Biały,Manualna,,Niemcy,,,2026-01-21 14:15:09,2026-01-21 14:15:10,2026-01-21 14:15:09,2026-01-21 14:15:10,1,Dąbrówka,Mazowieckie,Prywatny,6.0,8.0,"ABS, Centralny zamek, Elektryczne szyby, ESP (stabilizacja toru jazdy), Klimatyzacja automatyczna, Immobilizer, Poduszka powietrzna kierowcy, Wspomaganie kierownicy","Technicznie i wizualnie w dobrym stanie. Przegląd ważny do marca 26r , ubezpieczenie do września 26r. Do obejrzenia 30km od Warszawy ( trasa na Białystok)",dostawcze
32038,https://www.otomoto.pl/dostawcze/oferta/iveco-daily-35c16-kontenerwinda3-0hpi35c16klimatelefontempomat1-ID6Hj9u7.html,otomoto,iveco Daily,112900,2026-01-17 14:09:00,Iveco,DAILY 35C16 ​*KONTENER​*WINDA​*3.0HPI​*35C16​*KLIMA​*TELEFON​*TEMPOMAT​*1,,,2022,85460,Diesel,3000,160,Kontener,Biały,Manualna,,,Tak,,2026-01-21 14:15:07,2026-01-21 14:15:09,2026-01-21 14:15:07,2026-01-21 14:15:09,1,Rybnik,Śląskie,Dealer,19.0,15.0,"ABS, ASR (kontrola trakcji), Bluetooth, Centralny zamek, Elektryczne szyby, Klimatyzacja automatyczna, Poduszka powietrzna kierowcy, Radio fabryczne, Tempomat, Winda, Wspomaganie kierownicy, ESP (stabilizacja toru jazdy), Immobilizer, Komputer pokładowy, Wielofunkcyjna kierownica","Aby uzyskać więcej informacji skontaktuj się z nami: ☎ ☎ - IVECO DAILY 35C16​*KONTENER​*WINDA​*3.0HPI​*35C16​*KLIMA​*TELEFON​*TEMPOMAT​*1 Przebieg: 85460km Data pierwszej rejestracji: 27.02.2022 Numer VIN: ZCFCE35B00D721222 *W 100% oryginalny przebieg *Możliwość sprawdzenia pojazdu na stacji diagnostycznej lub w serwisie • Silnik 2998cm3/160KM • Klimatyzacja • Wielofunkcyjna kierownica • Kabina 3-osobowa • ABS • ASR • Tempomat • Limiter • Elektrycznie sterowane szyby • Elektrycznie sterowane lusterka • Regulowana wysokość kierownicy • Regulacja świateł drogowych • Centralny zamek • Podłokietnik • Poduszka powietrzna kierowcy • Kierunkowskazy zintegrowane w lusterkach Wymiary kontenera: Długość: 415cm Szerokość: 210cm Wysokość: 220cm Cena na export. W RAZIE PYTAŃ PROSZĘ DZWONIĆ: ☎ ☎ Udzielamy LEASINGÓW oraz KREDYTÓW na bardzo prostych i dogodnych warunkach. * BEZ POŚREDNIKÓW !! * NISKIE OPROCENTOWANIE !! * LEASINGI JUŻ OD PIERWSZYCH DNI DZIAŁALNOŚCI !! *Nie pobieramy prowizji* Oferujemy najlepsze warunki* *Możliwość pozostawienia swojego pojazdu w rozliczeniu* *Wykup pojazdów za klientów mających problem ze spłatą leasingu lub kredytu* *GWARANTUJEMY PRZEBIEG* *ZAPRASZAMY NA JAZDĘ PRÓBNĄ* *44-207 Rybnik, Ul. Gliwicka 117, POLSKA* *Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, paragraf 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia. *Przed przyjazdem prosimy o kontakt telefoniczny w celu sprawdzenia dostępności oferowanego pojazdu. WE PROVIDE HIGH QUALITY TRANSPORTATION SERVICES FOR OUR DOMESTIC AND INTERNATIONAL CLIENTS. WE ARE ABLE TO DELIVER UNLIMITED NUMBER OF VEHICLES TO ANY LOCATION IN EUROPE We can help you to get insurance and technical inspection for cars. We can pick you up from airport. It is possible deliver car to port. In our company you have full export service. We speak English, Deutsch, Russian and French.",dostawcze
32037,https://www.otomoto.pl/dostawcze/oferta/iveco-daily-35c14-35c15-35c16-35c17-izoterma-8-palet-euro-chlodnia-kontener-winda-ID6HRztq.html,otomoto,iveco Daily,64000,2026-01-17 14:14:26,Iveco,"DAILY 35C14,35C15,35C16,35C17 IZOTERMA 8 PALET EURO CHLODNIA KONTENER WINDA",,,2017,351164,Diesel,2300,140,Chłodnia/izoterma,Biały,Manualna,,Polska,Tak,,2026-01-21 14:14:59,2026-01-21 14:15:07,2026-01-21 14:14:59,2026-01-21 14:15:07,1,Gołaczewy Kol. Chełmska,Małopolskie,Dealer,21.0,11.0,"ABS, Wspomaganie kierownicy, Radio fabryczne, Tempomat, Komputer pokładowy, Immobilizer, Elektryczne szyby, CD, Centralny zamek, ASR (kontrola trakcji), ESP (stabilizacja toru jazdy)","-OPIS -WIECEJ INFORMACIJ - - -CENA EXPORT -POSIADAM DO SPRZEDANIA IVECO 35C14 -CHLODNIA WYMIARY // 8 PALET EURO -MOZLIWOSC SPRZEDAZY SAMEJ RAMY PODWOZIA LUB MONTAZU ROZNEJ ZABUDOWY -POD KLIJENTA KONTENER IZOTERMA CHLODNIA WYWROTKA -SKRZYNIA LADUNKOWA KIPER -W OFERCIE INNE SAMOCHODY CIEZAROWE DOSTAWCZE 5P,,6P,, 8p,,10,,12,p,,14,,15,,16,,18,,20palet -WIECEJ NA WWW.AUTO-POLCIA.OTOMOTO.PL",dostawcze
32036,https://www.otomoto.pl/dostawcze/oferta/iveco-daily-35s18-hi-matic-180km-18m3-ID6HKh9R.html,otomoto,iveco Daily,121900,2026-01-17 14:15:00,Iveco,DAILY 35S18 Hi Matic  180Km 18M3,,,2021,34489,Diesel,2998,180,Furgon (blaszak),Szary,Automatyczna,,Polska,Tak,,2026-01-21 14:14:57,2026-01-21 14:14:59,2026-01-21 14:14:57,2026-01-21 14:14:59,1,Tenczynek,Małopolskie,Dealer,30.0,18.0,"ABS, Alarm, ASR (kontrola trakcji), Bluetooth, Centralny zamek, Czujniki parkowania, Elektryczne szyby, ESP (stabilizacja toru jazdy), Hak/Zaczep, Immobilizer, Klimatyzacja automatyczna, Komputer pokładowy, Poduszka powietrzna kierowcy, Przesuwane drzwi, Radio fabryczne, Tempomat, Wspomaganie kierownicy, Wielofunkcyjna kierownica","Iveco Daily 35S18 Wersja L4H3 18M3 Salon PL , jeden właściciel od nowości . Stan samochodu wzorowy . Możliwość wykonania zabudowy przestrzeni ładunkowej pod klienta. Faktura Vat 23% Cena 121000zł netto tel",dostawcze
32035,https://www.otomoto.pl/dostawcze/oferta/iveco-daily-35-180-3-0-hpi-180km-wywrotka-dubel-kabina-doka-7-osobowy-hak-ID6HRzuC.html,otomoto,iveco Daily,106400,2026-01-17 14:23:37,Iveco,DAILY 35-180 3.0 HPI 180KM WYWROTKA Dubel Kabina DOKA 7 osobowy !HAK!,,,2015,164000,Diesel,2998,180,Wywrotka,Biały,Manualna,,,Tak,,2026-01-21 14:14:54,2026-01-21 14:14:57,2026-01-21 14:14:54,2026-01-21 14:14:57,1,Daleszyce,Świętokrzyskie,Prywatny,34.0,18.0,"ABS, Alarm, ASR (kontrola trakcji), Bluetooth, CD, Centralny zamek, Hak/Zaczep, Immobilizer, ESP (stabilizacja toru jazdy), Elektryczne szyby, Klimatyzacja automatyczna, Klimatyzacja manualna, Poduszka powietrzna kierowcy, Poduszka powietrzna pasażera, Radio fabryczne, Tempomat, Wielofunkcyjna kierownica, Wspomaganie kierownicy","IVECO DAILY 35-180 3.0 HPI 180KM WYWROTKA Dubel Kabina DOKA 7 osobowy !HAK! Rok Produkcji: 2015 6x nowe opony ! Auto w 100% bezwypadkowe! Przebieg w 100% potwierdzony 164 TYŚ KM - auto do ostatniego km serwisowane w autoryzowanym serwisie Iveco Iveco zakupione w salonie Iveco Dodatkowo zamontowany Hak holowniczy ! Nowa Zabudowa zrobiona od podstaw! Nadramówka dodatkowo ocynkowana! Samochód na Podwoziu 5.2T z Dopuszczalną Masą Całkowitą 3.5T (Kat. ""B"") Iveco godne polecenia ! WYPOSAŻENIE: -wspomaganie kierownicy -centralny zamek -Klimatyzacja -elektryczne szyby -elektryczne lusterka -podgrzewane lusterka -7-osobowy -6 biegów -NOWY WYWROT 3-STRONNY! -na bliźniakach -komputer -tempomat - Na bliźniakach - ABS - ASR - radio CD - wyjmowane tylne słupki - i inne Auto w REWELACYJNYM STANIE technicznym i wizualnym! PIĘKNIE utrzymane! Wyjątkowo Czyste i Zadbane! Silnik DYNAMICZNY - pracuje bez zarzutów... Wszystko działa w 100%! Auto WYJĄTKOWO ZADBANE! Samochód 100% Bezwypadkowy! Oryginalny lakier! . AUTO GODNE UWAGI !!! .Można wozić i kiprować dużo więcej niż wskazuje ładowność... samochód jest bardzo wytrzymały na ładunki, wzmocnione resory. . -Możliwość dorobienia przegrody i podwyższenia burt, -Jest możliwość zamontowania stelaża i plandeki, -Jest możliwość zamontowania siatek, POLECAM! MOŻLIWOŚĆ KREDYTU LUB LEASINGU - pomoc przy załatwianiu... Więcej informacji pod numerem tel lub",dostawcze
32034,https://www.otomoto.pl/dostawcze/oferta/iveco-daily-65c15-65c17-65c18-70c15-70c17-70c18-72c15-72c17-72c18-ID6HRzx9.html,otomoto,iveco Daily,96000,2026-01-17 14:30:47,Iveco,"DAILY 65C15,65C17,65C18,70C15,70C17,70C18,72C15,72C17,72C18",,,2017,327356,Diesel,3000,0,Wywrotka,Biały,Manualna,,,Tak,,2026-01-21 14:14:52,2026-01-21 14:14:54,2026-01-21 14:14:52,2026-01-21 14:14:54,1,Gołaczewy Kol. Chełmska,Małopolskie,Dealer,26.0,15.0,"ABS, ASR (kontrola trakcji), CD, Centralny zamek, Elektryczne szyby, ESP (stabilizacja toru jazdy), Immobilizer, Klimatyzacja manualna, Komputer pokładowy, Tempomat, Wielofunkcyjna kierownica, Wspomaganie kierownicy, Tachograf, Radio fabryczne, Poduszka powietrzna kierowcy","OPIS -TEL DO KONTAKTU -ROBERT -ADAM -IVECO DAILY 65C15 NOWA ZABUDOWA WYWROT - W OFERCIE 65C15//65C17//65C18//70C15//70C17//70C18//72C17//72C18 -Wymiary zabudowy - Długość: 3.80m, - Szerokość: 2.30m, - Wysokość: 0.60m -Zwijał plandeka -Uchwyty na pasy -Automat tylna burta -FAKTURA VAT -NASZA FIRMA OFERUJE RÓWNIEŻ MOŻLIWOŚĆ -MOZLIWOSC SPREDAZY SMEGO PODWOZIA BEZ ZABUDOWY LUB -MONTAŻU DOWOLNEJ ZABUDOWY NA SAMOCHODZIE POD POTRZEBY KLIENTA : - Wywrotki robione na markowych pompach oraz tłokach HYVA - Skrzynie ładunkowe aluminiowe i stalowe - Skrzynie ładunkowe z plandeką/firanką - Chłodnie / mroźnie +20/-20 - Kontenery / izotermy -Windy ( podesty hydrauliczne o udźwigach 500/750/1000 kg ) -MOŻLIWOŚĆ DOPOSAŻENIA SAMOCHODU: - Poduszki pneumatyczne - Wzmocnienie resorów - Skrzynki narzędziowe - Oświetlenie ostrzegawcze - Najazdy samochodowe - Plandeki na ładunek - Hak holowniczy -W naszej ofercie znajdziecie różnego rodzaju samochody dostawcze: - Wywrotki/kipry ( TRZY STRONNE ) - Skrzyniowe ( FIRANKI,PLANDEKI,BURTOFIRANKI,PLATFORMY ) - Kontenery ( 8,10,11,12 EURO PALET ) - Kontenery ( CHŁODNICZE,MROŻNICZE - Brygadówki , DOKI( 6,7 osób ) - Możliwość zrobienia zabudowy specjalistycznej -Komplet dokumentów do rejestracji + ubezpieczenie -Wszystkie formalności na miejscu -Posiadamy w ciągłej ofercie kilkadziesiąt samochodów, co oznacza szeroki wybór dla naszych klientów. - Możliwość KREDYTU LUB LEASINGU -INFORMACJA - KREDYT , LEASING , TEL : -W celu uzyskania większej ilości informacji na temat pojazdu proszę dzwonić: ,, - Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, § 1. Kodeksu cywilnego. - Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia. -Podana cena export",dostawcze
32033,https://www.otomoto.pl/dostawcze/oferta/iveco-50c17-ID6HPL9L.html,otomoto,iveco Daily,40000,2026-01-17 14:34:00,Iveco,50c17,,,2011,270000,Diesel,3000,170,Do zabudowy,Biały,Manualna,,Szwajcaria,,,2026-01-21 14:14:49,2026-01-21 14:14:51,2026-01-21 14:14:49,2026-01-21 14:14:51,1,Nowy Puznów,Mazowieckie,Dealer,8.0,,,"Auto sprowadzono ze szwajcarii , wszystkie opłaty celno-skarbowe zapłacono. Auto 100% sprawne technicznie , bez wkładu finansowego.",dostawcze
32032,https://www.otomoto.pl/dostawcze/oferta/iveco-daily-35c13-2-3-hpi-130-koni-l3-h2-auto-klimatronik-blizniaki-bezwypadkowy-ID6HRzy2.html,otomoto,iveco Daily,27800,2026-01-17 14:34:57,Iveco,"DAILY 35C13 - 2,3 HPI 130 KONI , L3 H2 , AUTO-KLIMATRONIK ,BLIZNIAKI. -bezwypadkowy",,,2012,250000,Diesel,2300,130,Furgon (blaszak),Biały,Manualna,,Belgia,Tak,,2026-01-21 14:14:47,2026-01-21 14:14:49,2026-01-21 14:14:47,2026-01-21 14:14:49,1,Poznań,Wielkopolskie,Dealer,13.0,12.0,"ABS, ASR (kontrola trakcji), CD, Centralny zamek, Elektryczne szyby, Hak/Zaczep, Immobilizer, Klimatyzacja automatyczna, Poduszka powietrzna kierowcy, Przesuwane drzwi, Radio fabryczne, Wspomaganie kierownicy","POSIADAM NA SPRZEDAŻ IVECO DAILY 35C13 2,3 D O MOCY SILNIKA 130 KONI NA BLIZNIACZYM KOLE . JEST TO WERSJA L3 H2 PRZEDŁUŻONA I PODWYŻSZONA LONG Z PAKĄ DŁUGĄ NA PODŁODZE 3,60 M. SPROWADZONY BYŁ DO POLSKI Z BELGII I ZAREJESTROWANY NA MNIE W POLSCE. WYSTAWIAM VAT -MARŻE . AUTO MA WAŻNY PRZEGLĄD DO GRUDNIA 2026 ROKU I WAŻNE UBEZPIECZENIE OC. IVECO W PEŁNI SPRAWNE TECHNICZNIE. SILNIK TO CHODZI BARDZO ŁADNIE- RÓWNO I CICHO NIE PRZYDYMIA. PALI NA STRZAŁA ORYGINALNY PRZEBIEG AUTA TO 250,000 KILOMETRÓW - AUTO KUPIONE ZE SPRAWDZONEGO MIEJSCA. POSIADAM WYKUPIONY CARVERTICAL - CAŁA HISTORIA AUTA OD NOWOŚCI -100% BEZWYPADKOWY . PRZEBIEG AUTA WPISZĘ NA FAKTURZE MARZY NA ŻYCZENIE KUPUJĄCEGO BEZ ŻADNEGO KŁOPOTU. CELEM WERYFIKACJI HISTORII AUTA I JEGO PRZEBIEGU PODAJĘ JEGO DANE. SILNIK 2,3 HPI MOC 130 KM NUMER NADWOZIA VIN ZCFC359300D479120 PRZEBIEG ORYGINALNY 250.000 KILOMETRÓW PIERWSZA REJESTRACJA 13 SIERPIEN 2012 ROK. DMC POJAZDU 3,500 KG MODEL L3 H2 TAK ZWANY ŚREDNIAK PAKA 3.60M HAK KOLOR BIAŁY AKRYL FABRYCZNIE. ŁADOWNOŚĆ - 1300 KG BADANIE TECHNICZNE WAŻNE DO LISTOPAD 2026 ROK KLIMATYZACJA AUTO -KLIMATRONIK FABRYCZNE RADIO - PIERWSZY FABRYCZNY LAKIER -ZAPRASZAM Z MIERNIKIEM LAKIERU. NA HAKU MA 3,5 TONY TAPICERKA I WNĘTRZE CZYSTE I PACHNĄCE . BRAK PRZYPALEN CZY PRZEARĆ TAPICERKI. ZEWNĘTRZNIE PREZENTUJE SIĘ BARDZO ŁADNIE. MA 1 WGNIOTEK -RYSKĘ NA LAKIERZE. AUTO NIE JEST POOBIJANE -JEST PROSTE I MA LINIĘ . WYGLĄDA BARDZO ŁADNIE. JEST TO PEŁEN 2012 ROK . WYSTAWIAM FAKTURĘ VAT MARZĘ -KUPUJĄC JEST ZWOLNIONY PODATKU OD WZBOGACENIA DO URZEDU SKARBOWEGO 2% A PRZEREJESTROWANIE AUTA NA SIEBIE TO KOSZT 150 ZŁOTYCH. TRANSAKCJĘ DOKONUJEMY U MNIE W DOMU PRYWATNYM PRZY KAWIE CZY HERBACIE . W MIŁEJ ATMOSFERZE. GOTÓWKA LUB PRZELEW JAK KTO WOLI I CHCE. AUTO JEST BARDZO ZADBANE I ŁADNE - PAKA CZYSTA I ZADBANA -KABINA NIE PONISZCZONA. STAN OGÓLNY AUTA OKREŚLAM NA BARDZO DOBRY A OGLADAŁAM DUŻO AUT DOSTAWCZYCH. NIE JEST TO AUTO WYJECHANE CZY ZAMORTYZOWANE. JEDZIE SIĘ NIM BARDZO DOBRZE NIC NIE STUKA. SKRZYNIA BIEGÓW , NAPĘDY ,HAMULCE ,UKŁAD WSPOMAGANIA ,SPRZEGŁO TO WSZYSTKO JEST OK. WIADOMO ŻE NOWY TEŻ NIE JEST ALE JEST GODNY UWAGI I ZADBANY. JESLI WIDZISZ OGŁOSZENIE TO ZNACZY ŻE AUTO JEST AKTUALNE DO SPRZEDAŻY ! CENA DO NEGOCJACJI PO OGLĘDZINACH AUTA I JEZDZIE PRÓBNEJ. POZDRAWIAM I ZAPRASZAM DO SIEBIE NA JAZDĘ PRÓBNĄ",dostawcze
32031,https://www.otomoto.pl/dostawcze/oferta/iveco-daily-70-180-180km-rama-do-zabudowy-rozstaw-osi-475cm-pneumatyczne-zawieszenie-ID6HRzyi.html,otomoto,iveco Daily,92900,2026-01-17 14:37:32,Iveco,DAILY 70-180 180KM *RAMA Do Zabudowy* Rozstaw Osi 475cm! Pneumatyczne Zawieszenie!!,,,2019,200000,Diesel,2998,180,Do zabudowy,Biały,Manualna,,,Tak,,2026-01-21 14:14:45,2026-01-21 14:14:47,2026-01-21 14:14:45,2026-01-21 14:14:47,1,Daleszyce,Świętokrzyskie,Prywatny,29.0,19.0,"ABS, Alarm, ASR (kontrola trakcji), Bluetooth, CD, Centralny zamek, Immobilizer, ESP (stabilizacja toru jazdy), Elektryczne szyby, Klimatyzacja automatyczna, Klimatyzacja manualna, Ogrzewanie postojowe, Poduszka powietrzna kierowcy, Poduszka powietrzna pasażera, Radio fabryczne, Tempomat, Tachograf, Wspomaganie kierownicy, Wielofunkcyjna kierownica","IVECO DAILY 70-180 180KM *RAMA Do Zabudowy* Rozstaw Osi 475cm! Pneumatyczne Zawieszenie!! 2019r Auto bez korozji rama oraz kabina w fabrycznym lakierze ! Przebieg 100% oryginalny - wystawimy gwarancję pisemną przebiegu. Na życzenie udostępnimy numer VIN w celu weryfikacji historii auta Samochód 100% Bezwypadkowy! Rozstaw osi 475cm - wiele możliwości zabudowy ! DMC 7 ton z możliwością zmiany na DMC 3 500! Pneumatyczne zawieszenie - poduszki powietrzne 6x Nowe Opony Można wozić dużo więcej niż wskazuje ładowność... samochód jest bardzo wytrzymały na ładunki, wzmocnione resory. Bogata Wersja WYPOSAŻENIA: -wspomaganie kierownicy -centralny zamek -elektryczne szyby -elektryczne lusterka -podgrzewane lusterka - Klimatyzacja -6 biegów -komputer -tempomat - ABS - ASR - radio CD - i inne Auto w REWELACYJNYM STANIE technicznym i wizualnym! PIĘKNIE utrzymane! Wyjątkowo Czyste i Zadbane! Silnik DYNAMICZNY - pracuje bez zarzutów... Wszystko działa w 100%! Auto WYJĄTKOWO ZADBANE! Oryginalny lakier! . AUTO GODNE UWAGI !!! POLECAM! MOŻLIWOŚĆ KREDYTU LUB LEASINGU - pomoc przy załatwianiu... Więcej informacji udziele pod numerem tel",dostawcze
